Index,Time,Latitude,Longitude,Height,Elevation,Azimuth,Distance,dElev,dAz,Elev Steps,Az Steps
1037,104582,-35.305820310284936,-74.51483072604935,389.90207055419995,7.85780397116931,262.09388828810154,1554.6331795978751,0.009604231701920263,-0.0016916121791155092,1,0
1038,104683,-35.306346355115025,-74.50731947233777,389.90262554172074,7.867413881003461,262.0921953512244,1553.9555381196053,0.009609909834151331,-0.0016929368771343434,0,0
1039,104782,-35.30687188128356,-74.49980811729723,389.903180309086,7.877029476243326,262.0905010877896,1553.2779132903947,0.00961559523986466,-0.0016942634347856256,0,0
1040,104882,-35.307396888774214,-74.4922966610262,389.9037348562735,7.886650764175219,262.08880549593323,1552.600305139922,0.009621287931892653,-0.0016955918563894556,0,0
1041,104983,-35.30792137757081,-74.4847851036173,389.90428918328115,7.896277752105639,262.0871085737875,1551.9227136973907,0.00962698793042005,-0.0016969221457543426,0,0
1042,105082,-35.3084453476565,-74.47727344517433,389.9048432900846,7.905910447338228,262.08541031948346,1551.2451389930561,0.009632695232589583,-0.001698254304017155,0,0
1043,105183,-35.30896879901559,-74.46976168578621,389.9053971766698,7.915548857208264,262.083710731145,1550.5675810558787,0.009638409870035503,-0.0016995883384538502,1,0
1044,105282,-35.309491731631226,-74.46224982555964,389.9059508430386,7.925192989040818,262.08200980689594,1549.8900399164786,0.009644131832554415,-0.0017009242490644283,0,0
1045,105382,-35.31001414548734,-74.45473786458685,389.9065042891678,7.934842850191199,262.0803075448544,1549.2125156042025,0.0096498611503808,-0.0017022620415332312,0,0
1046,105483,-35.3105360405675,-74.44722580296471,389.90705751504316,7.944498448021358,262.0786039431365,1548.535008148873,0.009655597830159124,-0.001703601717906622,0,0
1047,105582,-35.31105741685562,-74.43971364079532,389.90761052065153,7.954159789898531,262.0768989998529,1547.8575175808198,0.009661341877173157,-0.0017049432835847256,0,0
1048,105683,-35.31157827433518,-74.43220137817052,389.9081633059868,7.963826883215871,262.07519271311304,1547.180043929512,0.009667093317339948,-0.0017062867398749404,1,0
1049,105782,-35.31209861299004,-74.42468901519526,389.9087158710267,7.973499735361543,262.07348508102103,1546.5025872256356,0.009672852145671484,-0.001707632092006861,0,0
1050,105882,-35.31261843280406,-74.41717655195893,389.90926821576915,7.98317835375688,262.0717761016781,1545.8251474985238,0.00967861839533768,-0.0017089793429363453,0,0
1051,105983,-35.31313773376086,-74.4096639885637,389.9098203401879,7.992862745818206,262.070065773182,1545.1477247787077,0.009684392061325653,-0.0017103284960739984,0,0
1052,106082,-35.31365651584442,-74.40215132510636,389.9103722442808,8.002552918981765,262.06835409362634,1544.4703190962828,0.009690173163559024,-0.0017116795556830766,0,1
1053,106183,-35.314174779038396,-74.39463856168257,389.9109239280306,8.012248880697568,262.0666410611021,1543.792930481294,0.009695961715802781,-0.0017130325242646904,1,0
1054,106282,-35.314692523326734,-74.38712569839456,389.9114753914273,8.02195063842,262.0649266736954,1543.1155589644143,0.009701757722432092,-0.0017143874066505305,0,0
1055,106382,-35.315209748693164,-74.37961273533529,389.91202663445256,8.031658199627065,262.06321092949025,1542.4382045755497,0.009707561207065396,-0.0017157442051711769,0,0
1056,106483,-35.315726455121656,-74.37209967260455,389.9125776570953,8.041371571801191,262.06149382656577,1541.7608673452473,0.009713372174125823,-0.00171710292448779,0,0
1057,106582,-35.31624264259587,-74.36458651029972,389.9131284593453,8.051090762440381,262.0597753629989,1541.0835473038928,0.009719190639190245,-0.0017184635668741066,0,0
1058,106683,-35.316758311100074,-74.35707324851928,389.91367904118636,8.0608157790533,262.0580555368603,1540.4062444820324,0.00972501661291858,-0.0017198261385829028,1,0
1059,106782,-35.31727346061773,-74.34955988736037,389.9142294026084,8.07054662916383,262.05633434622075,1539.7289589101172,0.009730850110530653,-0.001721190639557335,0,0
1060,106882,-35.31778809113307,-74.34204642692168,389.9147795435961,8.080283320305556,262.0546117891439,1539.0516906188057,0.009736691141725373,-0.0017225570768459875,0,0
1061,106983,-35.31830220263015,-74.33453286729265,389.9153294641354,8.090025860037214,262.05288786369124,1538.3744396379586,0.009742539731657729,-0.0017239254526657533,0,0
1062,107082,-35.31881579509242,-74.32701920858516,389.91587916421713,8.099774255901103,262.051162567922,1537.6972059995146,0.009748395863889314,-0.0017252957692335258,0,0
1063,107183,-35.31932886850435,-74.31950545088553,389.9164286438311,8.109528515485254,262.04943589988875,1537.0199897331518,0.00975425958415066,-0.0017266680332568285,1,0
1064,107282,-35.31984142284968,-74.31199159429627,389.91697790295,8.11928864636927,262.04770785764276,1536.342790870066,0.009760130884016505,-0.0017280422459862166,0,0
1065,107382,-35.32035345811239,-74.30447763891799,389.9175269415809,8.129054656148528,262.04597843923074,1535.6656094413197,0.009766009779257345,-0.001729418412026007,0,0
1066,107483,-35.32086497427669,-74.29696358483993,389.9180757596934,8.138826552445199,262.04424764269555,1534.9884454770076,0.0097718962966713,-0.0017307965351847088,0,0
1067,107582,-35.32137597132651,-74.28944943216649,389.9186243572885,8.148604342875357,262.04251546607645,1534.3112990086322,0.009777790430158362,-0.0017321766191003007,0,0
1068,107683,-35.32188644924574,-74.28193518099515,389.9191727343439,8.158388035076145,262.04078190740995,1533.6341700671278,0.009783692200787897,-0.001733558666501267,1,0
1069,107782,-35.322396408018626,-74.27442083142287,389.9197208908505,8.168177636698793,262.0390469647272,1532.957058683432,0.009789601622648192,-0.001734942682730889,0,0
1070,107882,-35.32290584762919,-74.26690638354644,389.920268826791,8.177973155407535,262.0373106360568,1532.2799648885052,0.009795518708742179,-0.0017363286704039638,0,0
1071,107983,-35.323414768061724,-74.25939183746246,389.92081654216145,8.18777459887954,262.0355729194225,1531.6028887133557,0.009801443472005289,-0.0017377166342953387,0,0
1072,108082,-35.32392316929998,-74.25187719327205,389.92136403694354,8.197581974799345,262.0338338128463,1530.9258301894474,0.009807375919804073,-0.0017391065762240032,0,0
1073,108183,-35.32443105132837,-74.24436245107182,389.9219113111261,8.207395290869938,262.0320933143441,1530.248789347867,0.009813316070593103,-0.0017404985022153596,1,0
1074,108282,-35.32493841413087,-74.23684761096007,389.9224583646889,8.217214554805322,262.03035142192977,1529.5717662199297,0.009819263935384015,-0.001741892414315771,0,0
1075,108382,-35.32544525769177,-74.22933267303053,389.92300519762784,8.227039774338609,262.0286081336125,1528.894760836573,0.009825219533286855,-0.0017432883172432412,0,0
1076,108483,-35.32595158199514,-74.22181763738783,389.9235518099308,8.236870957201726,262.026863447398,1528.2177732297725,0.009831182863116794,-0.001744686214522062,0,0
1077,108582,-35.32645738702531,-74.2143025041242,389.9240982015765,8.246708111155398,262.0251173612879,1527.540803430433,0.009837153953672129,-0.0017460861100744296,0,0
1078,108683,-35.326962672766186,-74.20678727334406,389.92464437256086,8.256551243958056,262.0233698732811,1526.8638514706117,0.009843132802657806,-0.0017474880067993581,0,0
1079,108782,-35.32746743920244,-74.19927194513797,389.9251903228727,8.26640036339926,262.02162098137063,1526.1869173811767,0.009849119441204479,-0.0017488919104948764,1,0
1080,108882,-35.32797168631785,-74.19175651960873,389.92573605248674,8.276255477265341,262.0198706835483,1525.5100011941224,0.009855113866080956,-0.0017502978223546961,0,0
1081,108983,-35.32847541409723,-74.18424099684755,389.9262815613999,8.28611659337151,262.0181189777988,1524.833102940473,0.009861116106169021,-0.0017517057494842447,0,1
1082,109082,-35.32897862252418,-74.17672537696363,389.92682684959897,8.295983719522463,262.01636586210725,1524.1562226529186,0.009867126150952643,-0.0017531156915424617,0,0
1083,109183,-35.329481311583415,-74.16920966004633,389.9273719170698,8.305856863561782,262.0146113344512,1523.4793603624091,0.009873144039319826,-0.0017545276560326784,0,0
1084,109282,-35.32998348125923,-74.16169384619626,389.92791676379517,8.315736033331914,262.0128553928057,1522.8025161009655,0.009879169770131924,-0.0017559416455128485,1,0
1085,109382,-35.33048513153578,-74.15417793551097,389.92846138977,8.325621236692633,262.01109803514254,1522.125689900373,0.009885203360719075,-0.0017573576631662036,0,0
1086,109483,-35.330986262397545,-74.14666192809004,389.92900579498007,8.335512481514225,262.00933925942843,1521.448881792666,0.009891244821591982,-0.0017587757141086513,0,0
1087,109582,-35.331486873828624,-74.13914582402933,389.92954997940717,8.34540977568512,262.00757906362804,1520.7720918095804,0.009897294170894355,-0.0017601958003865548,0,0
1088,109683,-35.33198696581377,-74.13162962342706,389.9300939430412,8.355313127104049,262.0058174456993,1520.095319983126,0.009903351418929063,-0.0017616179287642808,0,0
1089,109782,-35.332486538336966,-74.12411332638366,389.93063768587695,8.36522254368064,262.00405440359935,1519.4185663455648,0.009909416576590502,-0.0017630420999239504,1,0
1090,109882,-35.33298559138285,-74.11659693299428,389.93118120789427,8.375138033344305,262.00228993527907,1518.7418309287202,0.009915489663665511,-0.00176446832028887,0,0
1091,109983,-35.3334841249359,-74.10908044335976,389.9317245090739,8.385059604030603,262.0005240386861,1518.0651137649895,0.009921570686298509,-0.0017658965929854276,0,0
1092,110082,-35.33398213898047,-74.10156385757165,389.9322675894147,8.394987263701104,261.99875671176477,1517.3884148859972,0.009927659670500688,-0.0017673269213105414,0,0
